Date and Time:                Thu Feb 2 16:57:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
289.97086	308
289.99182	306
290.01279	309
290.03372	302
290.05469	305
290.07565	304
290.09662	302
290.11755	307
290.13852	304
290.15948	303
290.18042	308
290.20139	307
290.22232	302
290.24329	307
290.26425	313
290.28519	300
290.30615	302
290.32709	305
290.34805	308
290.36902	302
290.38995	310
290.41092	309
290.43185	310
290.45282	303
290.47375	303
290.49472	303
290.51566	301
290.53662	313
290.55756	307
290.57852	303
290.59946	306
290.62042	310
290.64136	307
290.66232	314
290.68326	308
290.70422	307
290.72516	311
290.74612	300
290.76706	308
290.78799	311
290.80896	310
290.8299	307
290.85086	305
290.8718	308
290.89273	311
290.9137	307
290.93463	301
290.95557	309
290.97653	301
290.99747	305
291.0184	305
291.03937	303
291.0603	313
291.08124	307
291.1022	306
291.12314	309
291.14407	311
291.16501	301
291.18597	303
291.20691	301
291.22784	310
291.24878	308
291.26974	308
291.29068	306
291.31161	301
291.33255	300
291.35349	299
291.37445	304
291.39539	301
291.41632	308
291.43726	307
291.45819	304
291.47913	303
291.50009	301
291.52103	310
291.54196	307
291.5629	310
291.58383	306
291.60477	311
291.6257	305
291.64664	303
291.66757	303
291.68851	304
291.70944	313
291.73038	301
291.75134	308
291.77228	308
291.79321	308
291.81415	307
291.83508	307
291.85602	299
291.87695	304
291.89789	306
291.91882	301
291.93976	307
291.96066	307
291.9816	306
292.00253	303
292.02347	307
292.0444	312
292.06534	307
292.08627	311
292.10721	304
292.12814	304
292.14908	302
292.17001	310
292.19092	304
292.21185	312
292.23279	307
292.25372	310
292.27466	310
292.29559	311
292.31653	303
292.33743	312
292.35837	303
292.3793	304
292.40024	307
292.42114	303
292.44208	310
292.46301	304
292.48395	306
292.50488	315
292.52579	302
292.54672	302
292.56766	305
292.58856	314
292.6095	311
292.63043	308
292.65137	305
292.67227	306
292.69321	312
292.71414	306
292.73505	310
292.75598	306
292.77689	304
292.79782	306
292.81876	307
292.83966	304
292.8606	305
292.88153	301
292.90244	305
292.92337	307
292.94427	298
292.96521	306
292.98611	301
293.00705	300
293.02798	309
293.04889	304
293.06982	311
293.09073	308
293.11166	310
293.13257	307
293.1535	308
293.17441	308
293.19534	304
293.21625	307
293.23715	307
293.25809	306
293.27899	309
293.29993	304
293.32083	302
293.34177	310
293.36267	305
293.38358	306
293.40451	303
293.42542	305
293.44635	311
293.46725	303
293.48816	303
293.50909	309
293.53	303
293.5509	300
293.57184	307
293.59274	301
293.61365	304
293.63458	305
293.65549	301
293.67639	304
293.69733	309
293.71823	307
293.73914	302
293.76004	306
293.78098	305
293.80188	305
293.82278	307
293.84369	300
293.86459	306
293.88553	309
293.90643	302
293.92734	306
293.94824	308
293.96915	307
293.99008	302
294.01099	306
294.03189	306
294.0528	310
294.0737	312
294.0946	311
294.11551	308
294.13641	307
294.15735	305
294.17825	305
294.19916	308
294.22006	307
294.24097	304
294.26187	302
294.28278	307
294.30368	306
294.32458	301
294.34549	300
294.36639	304
294.3873	310
294.4082	302
294.42911	305
294.45001	305
294.47092	302
294.49182	311
294.51273	312
294.53363	309
294.55453	309
294.57544	305
294.59634	310
294.61725	310
294.63812	307
294.65903	303
294.67993	306
294.70084	310
294.72174	299
294.74265	305
294.76355	306
294.78445	308
294.80533	300
294.82623	306
294.84714	303
294.86804	302
294.88895	306
294.90982	307
294.93073	299
294.95163	309
294.97253	299
294.99344	300
295.01431	310
295.03522	308
295.05612	302
295.07703	303
295.0979	304
295.1188	312
295.13971	313
295.16058	304
295.18149	307
295.20239	306
295.22327	305
295.24417	309
295.26508	307
295.28595	302
295.30685	297
295.32776	304
295.34863	303
295.36954	300
295.39044	303
295.41132	308
295.43222	310
295.45309	303
295.474	308
295.49487	298
295.51578	305
295.53668	301
295.55756	308
295.57846	307
295.59933	305
295.62024	313
295.64111	308
295.66202	306
295.68289	309
295.7038	307
295.72467	307
295.74557	314
295.76645	302
295.78732	309
295.80823	309
295.8291	302
