Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
299.58105	14178
299.60199	14133
299.62296	14176
299.64389	14250
299.66483	14207
299.68579	14232
299.70673	14317
299.72769	14339
299.74863	14294
299.76959	14369
299.79053	14406
299.81146	14410
299.83243	14389
299.85336	14426
299.87433	14516
299.89526	14473
299.9162	14487
299.93716	14481
299.9581	14478
299.97903	14475
300	14466
300.02094	14528
300.04187	14618
300.06284	14674
300.08377	14706
300.10471	14754
300.12567	14740
300.14661	14769
300.16754	14760
300.18848	14825
300.20944	14894
300.23038	14941
300.25131	14878
300.27225	14896
300.29321	14900
300.31415	14929
300.33508	14870
300.35602	14835
300.37698	14823
300.39792	14773
300.41885	14784
300.43979	14745
300.46072	14869
300.48166	14877
300.50262	14825
300.52356	14931
300.54449	14964
300.56543	14922
300.58636	14897
300.6073	14949
300.62823	14907
300.64917	14933
300.67014	14955
300.69107	14960
300.71201	15011
300.73294	14982
300.75388	14983
300.77481	14989
300.79575	14988
300.81668	14972
300.83762	15054
300.85855	14986
300.87949	15047
300.90042	15046
300.92136	15036
300.94229	15115
300.96323	15191
300.98416	15104
301.0051	15180
301.02603	15165
301.04697	15198
301.0679	15219
301.08884	15176
301.10977	15202
301.13071	15251
301.15161	15239
301.17255	15316
301.19348	15340
301.21442	15353
301.23535	15418
301.25629	15360
301.27722	15426
301.29816	15445
301.31906	15388
301.34	15387
301.36093	15428
301.38187	15430
301.4028	15450
301.42374	15502
301.44464	15466
301.46558	15570
301.48651	15568
301.50745	15576
301.52838	15600
301.54929	15570
301.57022	15627
301.59116	15607
301.61209	15597
301.633	15590
301.65393	15649
301.67487	15589
301.69577	15636
301.71671	15652
301.73764	15661
301.75858	15679
301.77948	15673
301.80042	15685
301.82135	15678
301.84225	15669
301.86319	15690
301.88409	15744
301.90503	15762
301.92596	15753
301.94687	15802
301.9678	15759
301.98874	15786
302.00964	15788
302.03058	15768
302.05148	15756
302.07242	15747
302.09332	15774
302.11426	15826
302.13519	15812
302.1561	15816
302.17703	15879
