# wl center%tx left%tx right%tx top%tx bottom%tx
 263.11707  0.00081  0.00322  0.00040  0.00000 -0.00201
 263.13826  0.00040 -0.00202 -0.00202 -0.00202  0.00000
 263.15943  0.00121  0.00483  0.00524  0.00000  0.00121
 263.18062 -0.00321 -0.00161 -0.00482  0.00040  0.00321
 263.20182  0.00802  0.00561  0.00842  0.00802  0.00401
 263.22301 -0.00240 -0.00360 -0.00240 -0.00360 -0.00320
 263.24420  0.00000 -0.00321 -0.00161  0.00120 -0.00482
 263.26540  0.00040  0.00161 -0.00321 -0.00522  0.00241
 263.28659 -0.00161  0.00362  0.00201  0.00161  0.00563
 263.30776  0.00200  0.00601  0.00280  0.00962  0.00080
 263.32895  0.00119  0.00239  0.00398  0.00159  0.00239
 263.35015 -0.00434 -0.00316 -0.00039  0.00000 -0.00079
 263.37134  0.00394 -0.00158  0.00276  0.00237  0.00118
 263.39253  0.00749  0.00039  0.00158  0.00276  0.00237
 263.41373  0.00118 -0.00158 -0.00039 -0.00355 -0.00197
 263.43489  0.00317  0.00079  0.00277  0.00000  0.00396
 263.45609  0.00753  0.00000  0.00238  0.00634  0.00277
 263.47728 -0.00079  0.00277  0.00000  0.00238  0.00040
 263.49848  0.00395  0.00119  0.00474  0.00198  0.00474
 263.51964  0.00668  0.00236  0.00393  0.00354  0.00432
 263.54083  0.00702  0.00663  0.00234  0.00273  0.00429
 263.56203  0.00274  0.00078  0.00117  0.00117  0.00509
 263.58322 -0.00078 -0.00039  0.00351  0.00234  0.00000
 263.60438  0.00503  0.00039 -0.00232  0.00349  0.00387
 263.62557  0.00347  0.00193 -0.00039  0.00501  0.00424
 263.64677  0.00000  0.00116  0.00463  0.00540  0.00347
 263.66796  0.00154  0.00116  0.00347 -0.00039 -0.00231
 263.68912  0.00734  0.00386  0.01198  0.00618  0.01236
 263.71032 -0.00039 -0.00309  0.00232  0.00039  0.00116
 263.73151  0.00505  0.00078 -0.00155 -0.00427  0.00194
 263.75268  0.00386 -0.00116  0.00425  0.00193  0.00193
 263.77387  0.00616  0.00578  0.00424  0.00886  0.00770
 263.79507  0.00462  0.00000  0.00423  0.00038 -0.00038
 263.81626  0.00695  0.00193  0.00425  0.00502  0.00077
 263.83743 -0.00116  0.00000  0.00426  0.00039 -0.00426
 263.85862  0.00504  0.00852  0.00542  0.00387  0.00775
 263.87981  0.00386 -0.00154  0.00193  0.00424  0.00077
 263.90098 -0.00192  0.00077  0.00192  0.00423  0.00423
 263.92217  0.00306  0.00267  0.00191  0.00267  0.00344
 263.94337  0.00381  0.00267  0.00229  0.00038  0.00229
 263.96453  0.00230  0.00000  0.00421  0.00000  0.00153
 263.98573 -0.00038  0.00115  0.00382  0.00306  0.00229
 264.00689  0.00872  0.00720  0.00303  0.00758  0.00493
 264.02808  0.00264  0.00038 -0.00038  0.00226  0.00452
 264.04928 -0.00226  0.00301  0.00226  0.00263  0.00075
 264.07043  0.00113  0.00000  0.00189  0.00264  0.00378
 264.09163  0.00226  0.00150 -0.00301  0.00075 -0.00075
 264.11279 -0.00263 -0.00075 -0.00113 -0.00188 -0.00150
 264.13399  0.00603  0.00603  0.00414  0.00226  0.00678
 264.15518  0.00716  0.00452  0.00452  0.00528  0.00264
 264.17635  0.00151  0.00000 -0.00075  0.00113 -0.00075
 264.19754  0.00789  0.00075  0.00113  0.00075  0.00150
 264.21870  0.00376 -0.00038  0.00150 -0.00188  0.00000
 264.23990  0.00113 -0.00075 -0.00376 -0.00075 -0.00753
 264.26106  0.00450  0.00563  0.00488 -0.00188  0.00075
 264.28226  0.00633  0.00074  0.00819  0.00856  0.00447
 264.30342  0.00074  0.00260  0.00260 -0.00111  0.00186
 264.32462 -0.00074  0.00333  0.00074  0.00148  0.00148
 264.34578  0.00037 -0.00332  0.00148 -0.00258 -0.00111
 264.36697  0.00074  0.00405  0.00221  0.00111  0.00405
 264.38817 -0.00296 -0.00555 -0.00333 -0.00370 -0.00185
 264.40933  0.00112 -0.00186  0.00112  0.00298  0.00112
